Title,Life insurance offices; Cash and deposits,Life insurance offices; Loans and placements,Life insurance offices; Short-term securities,Life insurance offices; Long-term securities; Government; Australian,Life insurance offices; Long-term securities; Government; State and local,Life insurance offices; Long-term securities; Other,Life insurance offices; Equities and units in trusts,Life insurance offices; Land and buildings,Life insurance offices; Other assets,Life insurance offices; Assets overseas,Life insurance offices; Total assets
Series ID,BLISFCAD,BLISFLAP,BLISFSTS,BLISFLTGA,BLISFLTGSL,BLISFLTO,BLISFEUT,BLISFLAB,BLISFOA,BLISFAO,BLISFTA
Dec-93,4015,5819,9964,9078,15330,3992,38241,8967,3593,19784,118781
Mar-94,3980,5431,9090,9528,14893,3974,37477,8457,3819,18807,115456
Jun-94,5059,5329,9826,9562,14207,4088,37048,9121,3524,16974,114739
Sep-94,5245,5532,10175,10035,13363,4369,37657,9195,3712,16545,115830
Dec-94,4814,6180,11028,9370,13435,3920,36801,9374,3221,15439,113581
Mar-95,5199,5622,9868,9800,13649,3943,36537,9669,3809,16466,114562
Jun-95,4912,5817,9927,9872,13907,4925,38076,9486,4396,17214,118532
Sep-95,5371,6531,11485,10011,13909,4852,40023,8892,4540,15907,121521
Dec-95,5446,6673,12212,10229,14005,5057,41588,8743,3874,16355,124183
Mar-96,5219,6652,12943,11341,12775,5043,41214,8998,5245,16388,125818
Jun-96,5979,6460,14408,11563,12579,5107,41947,8843,4745,15579,127209
Sep-96,6219,6865,14531,12786,12388,5160,42862,8853,4950,16834,131448
Dec-96,6704,6400,16212,12998,12086,5239,45359,8081,3926,17488,134491
Mar-97,8182,6987,16491,12430,12243,5131,45730,7888,4522,18309,137913
Jun-97,6918,6920,16262,13423,12263,6276,50728,7182,5127,20452,145551
Sep-97,6320,7043,15912,13839,12757,7558,51359,7232,5606,22280,149906
Dec-97,5431,7706,18048,11828,13250,7601,52339,6247,6239,23519,152208
Mar-98,7035,8102,14875,11998,12834,7083,57580,7538,7456,23823,158324
Jun-98,5914,8096,14799,12606,12802,7107,58834,6621,7121,26940,160840
Sep-98,5870,8565,15570,13620,14362,7055,58651,6754,6544,25366,162357
Dec-98,6140,8445,15625,13801,15348,7489,63331,7010,6559,27240,170987
Mar-99,5909,7830,17022,13904,14117,7983,66148,7033,6391,29185,175523
Jun-99,6810,7648,18664,12102,13752,9737,65995,7210,7053,28635,177605
Sep-99,5969,8564,15166,11993,14152,12091,67354,7494,5918,28910,177611
Dec-99,6426,8452,13776,10667,13579,12097,75048,6823,5006,31983,183857
Mar-00,6695,9005,12997,9886,14666,12129,76101,6947,5711,34126,188265
Jun-00,7015,8819,14040,9279,14814,11165,78477,7474,6443,32953,190478
Sep-00,6955,9571,11087,8297,12832,9995,92351,7617,5277,32764,196747
Dec-00,6319,8437,11010,8848,11932,9471,97830,7597,5236,29564,196244
1-Mar,6851,7917,9699,8273,12289,10043,97420,8027,6404,30812,197734
1-Jun,6975,7694,11453,7404,12484,10277,101275,8071,6213,30319,202165
1-Sep,6840,7722,10798,6164,12112,10918,95501,7397,9005,28887,195345
1-Dec,6184,6359,12571,6466,10314,10771,106346,7237,9592,31143,206983
2-Mar,5851,5619,11049,7045,9385,9982,109822,7130,9564,31827,207273
2-Jun,6353,4770,12130,6717,10217,10303,106201,7501,8233,30526,202951
2-Sep,6081,5048,13027,6475,9692,10258,106257,7083,6988,27115,198023
2-Dec,5834,3479,13312,6221,8693,12090,107044,7025,8197,27264,199158
3-Mar,5919,3335,12773,5543,9031,12877,103349,7000,8571,26818,195217
3-Jun,6219,3581,14222,5455,9539,13188,104105,6784,8935,23876,195904
3-Sep,6361,2694,13894,5144,8518,11418,115679,,,21972,200497
3-Dec,6965,2318,12762,5733,8531,10304,119704,,,19441,198518
4-Mar,6186,2240,13276,5822,9041,10685,121549,,,17588,199552
4-Jun,5770,2397,13373,6106,9432,11339,124952,,,18687,205292
4-Sep,5372,2626,13631,6250,9658,12192,127977,,,17370,208162
4-Dec,5542,2182,13236,5823,9032,11948,138988,,,18499,219935
5-Mar,4843,2446,12939,5774,8044,12501,144019,,,18236,222624
5-Jun,4429,2577,12757,5695,7746,13369,156021,,,15828,231444
5-Sep,5229,4058,12724,4426,7482,12971,163158,,,15126,238413
5-Dec,5530,4201,11367,4075,7360,13198,168557,,,14142,238290
6-Mar,5148,4446,12157,3074,6695,13585,176370,,,13519,243832
6-Jun,4777,4396,11261,2774,7010,14762,172418,3105,7141,14299,241943
6-Sep,5134,4343,11401,2999,6682,14672,177826,3095,5355,13109,244617
6-Dec,4712,4065,11727,2587,6427,15173,184656,3416,4951,13291,251004
7-Mar,4754,4159,10962,3056,6473,14990,194553,3751,5201,12789,260688
7-Jun,5146,3945,10772,2849,6447,14470,200656,3367,7268,12070,266990
7-Sep,4625,3371,10428,2438,6412,13547,203707,2857,5225,11931,264540
7-Dec,4795,4782,11864,2667,5516,11889,199195,2759,5616,12589,261671
8-Mar,4651,3990,10464,3142,5306,13480,179706,2829,6178,12562,242309
8-Jun,4643,3975,8771,2880,6525,13615,173943,2710,7199,11839,236099
8-Sep,5835,3816,8323,2874,6902,13432,167389,2733,8433,11066,230803
8-Dec,8096,3565,8620,2704,6855,13722,144676,2777,10925,10670,212610
9-Mar,7159,3367,8017,2730,6993,14093,138487,2593,10544,9717,203700
9-Jun,7816,3594,10349,1145,5946,11088,149238,1722,9939,10057,210895
9-Sep,8062,2885,9050,1242,5699,12311,167641,1666,8155,10793,227503
9-Dec,8619,3353,7974,1560,5662,11833,171172,1675,7609,11189,230646
10-Mar,6248,2775,8527,2026,5333,11313,174521,1676,7661,11449,231529
10-Jun,7261,2337,9821,1896,5170,11447,165534,1719,7399,10896,223481
10-Sep,8042,2382,9167,2223,5042,10963,173953,1743,7169,9892,230577
10-Dec,7538,2405,8349,2203,4446,10943,177794,1767,6805,9096,231347
11-Mar,7582,1889,8129,2397,4162,12177,182830,1812,7292,11076,239345
11-Jun,8464,2284,6136,3396,3928,11603,179171,1829,7162,10722,234695
11-Sep,9560,2100,7140,3439,3988,11358,168540,1848,7973,11815,227760
11-Dec,9746,2171,6112,3866,4120,11307,170184,1876,8019,11078,228480
12-Mar,10172,3030,6682,3241,4861,12940,176248,1866,7647,11398,238086
12-Jun,11348,2696,6521,3426,5188,13110,171083,1871,8038,11865,235146
12-Sep,12302,2531,6613,3982,5167,13539,177860,1902,7854,11871,243622
12-Dec,12564,2187,5946,4183,5090,13685,182118,1487,7315,11506,246081
13-Mar,11335,2317,5582,4462,4760,12626,190409,1496,7919,11126,252032
13-Jun,12034,1953,5847,4820,4847,11434,194950,1520,7869,9932,255206
13-Sep,11945,2076,5267,5898,4466,11294,205080,1533,9130,9154,265843
13-Dec,12276,2812,5270,6761,4249,11387,211275,1553,8545,9634,273761
14-Mar,12399,2811,4859,7377,4290,11009,212420,1565,9973,8890,275592
14-Jun,12108,2199,5555,7201,4605,12408,218303,1597,8770,8446,281192
14-Sep,9794,2428,4823,7682,4496,11622,223204,1569,10177,8689,284483
14-Dec,10210,2639,5088,7714,4098,13478,228904,122,8679,9292,290224
15-Mar,9472,3211,4867,7756,4193,13788,241508,122,9453,10151,304521
15-Jun,9951,3394,4514,7345,3901,14620,236563,163,7914,9657,298022
15-Sep,10671,3680,4531,7683,3802,14334,230108,170,8827,8733,292539
15-Dec,10673,3611,4643,7710,3632,14586,235558,217,8511,8580,297723
16-Mar,10686,3681,4711,8895,3661,14049,229308,230,8866,7922,292008
16-Jun,11068,3581,4810,10156,3648,14017,226467,83,9147,8430,291407
