,Time,Cash and deposits,Loans and placements,Short-term securities,Long-term securities; Government; Australian,Long-term securities; Government; State and local,Long-term securities; Other,Equities and units in trusts,Land and buildings,Other assets,Assets overseas,Total assets
31,Mar-77,0,1653,0,2277,899,0,1826,2337,0,0,10031
32,Jun-77,0,1662,0,2328,909,0,1866,2365,0,0,10238
33,Sep-77,0,1662,0,2417,954,0,1897,2427,0,0,10448
34,Dec-77,0,1675,0,2508,996,0,1978,2573,0,0,10798
35,Mar-78,0,1692,0,2505,1044,0,2053,2643,0,0,11063
36,Jun-78,0,1688,0,2561,1061,0,2096,2709,0,0,11280
37,Sep-78,0,1676,0,2643,1079,0,2188,2768,0,0,11514
38,Dec-78,0,1672,0,2707,1121,0,2271,2862,0,0,11787
39,Mar-79,0,1668,0,2703,1161,0,2326,2893,0,0,12038
40,Jun-79,0,1656,0,2735,1177,0,2364,2961,0,0,12329
41,Sep-79,0,1635,0,2841,1188,0,2458,3042,0,0,12487
42,Dec-79,0,1668,0,2887,1199,0,2692,3164,0,0,12923
43,Mar-80,0,1700,0,2824,1226,0,2847,3209,0,0,13218
44,Jun-80,0,1720,0,2873,1264,0,2997,3267,0,0,13652
45,Sep-80,0,1720,0,2961,1275,0,3160,3359,0,0,14026
46,Dec-80,0,1769,0,3097,1343,0,3457,3570,0,0,14639
47,Mar-81,0,1807,0,3075,1374,0,3506,3621,0,0,15010
48,Jun-81,0,1820,0,3125,1433,0,3711,3730,0,0,15458
49,Sep-81,0,1851,0,3214,1485,0,3791,3797,0,0,15870
50,Dec-81,0,1903,0,3421,1484,0,3703,4004,0,0,16272
51,Mar-82,0,1964,0,3356,1470,0,3832,4051,0,0,16567
52,Jun-82,0,2093,0,3362,1552,0,3945,4117,0,0,17127
53,Sep-82,0,2117,0,3397,1617,0,4019,4231,0,0,17281
54,Dec-82,0,2055,0,3991,1622,0,4263,4310,0,0,17932
55,Mar-83,0,2129,0,3908,1698,0,4437,4559,0,0,18455
56,Jun-83,0,2227,0,4030,1813,0,4720,4618,0,0,19183
57,Sep-83,0,2154,0,4294,1693,0,5098,4935,0,0,19760
58,Dec-83,0,2189,0,4736,1705,0,5727,4863,0,0,20793
59,Mar-84,0,2179,0,4786,1727,0,5936,5042,0,0,21509
60,Jun-84,0,2241,0,5208,1867,0,6053,4966,0,0,22528
61,Sep-84,0,2498,0,5295,2045,0,6266,5025,0,0,23349
62,Dec-84,0,2582,0,5734,2134,0,6522,4997,0,0,24127
63,Mar-85,0,2454,0,5870,2119,0,6788,5359,0,0,25112
64,Jun-85,0,2901,0,4930,2293,0,7169,5440,0,0,25987
65,Sep-85,0,2851,0,4777,2477,0,7723,5512,0,0,26836
66,Dec-85,0,2603,0,4841,2685,0,9318,5818,0,0,28620
67,Mar-86,0,2843,0,4283,3056,0,10430,5871,0,0,30056
68,Jun-86,0,3030,0,3447,3312,0,12155,6043,0,0,32114
69,Sep-86,0,3707,0,3087,3625,0,12624,6000,0,0,33595
70,Dec-86,0,3841,0,3180,3700,0,16592,7440,0,0,40189
71,Mar-87,0,4286,0,3086,3677,0,18531,7756,0,0,43074
72,Jun-87,0,5083,0,2915,4126,0,19778,7872,0,0,46256
73,Sep-87,0,3357,0,3340,4967,0,24008,7925,0,0,51111
74,Dec-87,0,5047,0,2834,4936,0,18363,8469,0,0,48280
75,Mar-88,0,5571,0,2662,5065,0,17933,9188,0,0,50639
76,Jun-88,1619,6421,3915,3562,7779,1472,18341,9474,2078,3884,58544
77,Sep-88,1773,5413,4044,3765,8222,1556,20101,9881,2094,4027,60875
78,Dec-88,2270,6308,3748,3950,8625,1632,20906,10644,2158,4328,64569
79,Mar-89,2270,7020,4456,3845,8396,1588,20710,12604,2438,4810,68136
80,Jun-89,2472,8342,5815,4014,7745,1433,21885,12840,2952,5345,72844
81,Sep-89,2450,7103,5648,4163,8288,1717,23034,13219,4059,6276,75958
82,Dec-89,2200,9331,5015,4448,8360,1334,24320,13797,3534,8266,80605
83,Mar-90,2495,9902,5144,4264,9064,1553,23348,14024,3934,8334,82062
84,Jun-90,2680,10701,5347,3584,10681,2039,24415,13397,4178,8401,85422
85,Sep-90,3305,8580,5812,4439,10958,2417,24139,14451,4781,7498,86380
86,Dec-90,2989,9715,5461,5818,9075,3013,21953,13729,4158,7828,83739
87,Mar-91,3581,8613,5332,6010,10946,2192,23234,14125,4717,8564,87315
88,Jun-91,3700,8714,5914,5152,12907,2719,25292,13733,4475,10176,92780
89,Sep-91,3757,8577,6727,5790,13396,2559,26242,13093,4218,10505,94863
90,Dec-91,3564,8584,7325,5482,13287,4238,28103,11891,4716,12223,99413
91,Mar-92,3655,8557,6320,5341,13701,4110,27296,11787,5260,12162,98188
92,Jun-92,4186,6639,10327,3994,14492,3763,31204,11823,4007,12774,103208
93,Sep-92,3862,6746,9332,5877,12364,3817,29843,10987,4162,13958,100948
94,Dec-92,4046,6051,9573,5987,12953,3619,29913,10446,3909,14389,100886
95,Mar-93,3762,6271,9170,6828,14914,3983,30724,10375,4182,15050,105259
96,Jun-93,4377,6599,10415,6711,14676,3818,31073,9753,3853,16716,107991
97,Sep-93,3989,6297,9942,9355,14837,3760,34718,9434,3516,18447,114297
98,Dec-93,4015,5819,9964,9078,15330,3992,38241,8967,3593,19784,118781
99,Mar-94,3980,5431,9090,9528,14893,3974,37477,8457,3819,18807,115456
100,Jun-94,5059,5329,9826,9562,14207,4088,37048,9121,3524,16974,114739
101,Sep-94,5245,5532,10175,10035,13363,4369,37657,9195,3712,16545,115830
102,Dec-94,4814,6180,11028,9370,13435,3920,36801,9374,3221,15439,113581
